date,open,high,low,close,volume,amount
2018-01-02,3314.03,3349.05,3314.03,3348.32,202278861,227788460032.0
2018-01-03,3347.74,3379.92,3345.29,3369.11,213836150,258366521344.0
2018-01-04,3371.0,3392.83,3365.29,3385.71,206955287,243090767872.0
2018-01-05,3386.46,3402.07,3380.25,3391.75,213060682,248187842560.0
2018-01-08,3391.55,3412.73,3384.56,3409.48,236165107,286213218304.0
2018-01-09,3406.11,3417.23,3403.59,3413.9,191488550,238249975808.0
2018-01-10,3414.11,3430.21,3398.84,3421.83,209094996,254515441664.0
2018-01-11,3415.58,3426.48,3405.64,3425.34,173812132,218414133248.0
2018-01-12,3423.88,3435.42,3417.98,3428.94,174063404,215961456640.0
2018-01-15,3428.95,3442.5,3402.31,3410.49,232009283,286362734592.0
2018-01-16,3403.47,3437.58,3401.96,3436.59,211475469,266578817024.0
2018-01-17,3438.58,3465.2,3430.51,3444.67,261045030,316532678656.0
2018-01-18,3449.88,3476.55,3448.79,3474.75,220039555,267692642304.0
2018-01-19,3481.62,3498.43,3474.29,3487.86,247536732,294189072384.0
2018-01-22,3476.99,3503.39,3475.67,3501.36,217487534,261295714304.0
2018-01-23,3504.34,3547.22,3504.34,3546.5,238705905,282091888640.0
2018-01-24,3553.48,3569.49,3527.11,3559.47,252954496,307629215744.0
2018-01-25,3555.17,3571.48,3528.03,3548.31,243413422,287989534720.0
2018-01-26,3535.49,3574.9,3534.2,3558.13,222698296,258149515264.0
2018-01-29,3563.64,3587.03,3510.27,3523.0,236026964,285417005056.0
2018-01-30,3511.5,3523.05,3484.66,3488.01,186369976,224681693184.0
2018-01-31,3470.51,3495.45,3454.73,3480.83,207253404,242657959936.0
2018-02-01,3478.67,3495.09,3424.42,3446.98,260504707,292882255872.0
2018-02-02,3419.22,3463.16,3388.86,3462.08,208120550,236278755328.0
2018-02-05,3411.67,3487.72,3406.24,3487.5,217673754,252198768640.0
2018-02-06,3418.01,3440.12,3364.22,3370.65,280555476,318818541568.0
2018-02-07,3412.74,3425.54,3304.01,3309.26,260939715,295264428032.0
2018-02-08,3281.04,3307.16,3225.71,3262.05,201262500,222348685312.0
2018-02-09,3172.85,3180.11,3062.74,3129.85,256389176,272095088640.0
2018-02-12,3128.37,3168.12,3113.6,3154.12,153310830,171003183104.0
2018-02-13,3176.11,3219.22,3176.11,3184.96,151527598,172045205504.0
2018-02-14,3188.25,3203.5,3171.38,3199.16,100322826,114552201216.0
2018-02-22,3237.57,3269.92,3234.11,3268.56,138730445,157303881728.0
2018-02-23,3275.43,3294.13,3258.49,3289.02,145790369,159502516224.0
2018-02-26,3307.29,3335.99,3281.61,3329.57,188568602,213333037056.0
2018-02-27,3328.67,3328.67,3284.63,3292.07,174219369,204394381312.0
2018-02-28,3264.06,3277.83,3239.84,3259.41,151043535,180233814016.0
2018-03-01,3235.09,3280.15,3228.58,3273.75,159098319,185277784064.0
2018-03-02,3248.45,3269.94,3242.27,3254.53,150861064,178602991616.0
2018-03-05,3255.87,3269.4,3236.72,3256.93,144835988,174148636672.0
2018-03-06,3266.49,3290.25,3243.65,3289.64,195358047,224381788160.0
2018-03-07,3288.86,3308.41,3264.76,3271.67,168665019,193489334272.0
2018-03-08,3268.35,3289.5,3261.55,3288.41,149827520,175895392256.0
2018-03-09,3291.43,3309.72,3283.56,3307.17,168424509,202349182976.0
2018-03-12,3319.21,3333.56,3313.55,3326.7,206532436,247894175744.0
2018-03-13,3324.12,3333.88,3307.38,3310.24,177114353,202375118848.0
2018-03-14,3298.67,3304.98,3287.35,3291.38,157491085,183457632256.0
2018-03-15,3277.51,3297.1,3273.2,3291.11,148573606,179516616704.0
2018-03-16,3290.21,3300.56,3269.28,3269.88,141203648,167761534976.0
2018-03-19,3264.93,3280.57,3251.05,3279.25,137954980,169772208128.0
2018-03-20,3257.22,3292.57,3252.43,3290.64,139881080,166979883008.0
2018-03-21,3299.73,3314.21,3268.88,3280.95,168398277,208617684992.0
2018-03-22,3281.26,3288.8,3242.76,3263.48,150432978,184471728128.0
2018-03-23,3172.77,3188.24,3110.66,3152.76,275532014,293405065216.0
2018-03-26,3117.32,3134.27,3091.46,3133.72,186366351,215910260736.0
2018-03-27,3164.8,3172.78,3143.57,3166.65,189073382,227085086720.0
2018-03-28,3130.57,3165.21,3117.53,3122.29,163500488,208617852928.0
2018-03-29,3127.26,3174.51,3098.25,3160.53,170312384,210920222720.0
2018-03-30,3161.78,3177.72,3152.89,3168.9,154646597,196006699008.0
2018-04-02,3169.78,3192.34,3159.99,3163.18,177727777,226253565952.0
2018-04-03,3130.01,3144.33,3119.13,3136.63,152216673,189692715008.0
2018-04-04,3147.05,3163.34,3128.87,3131.11,146976681,193492824064.0
2018-04-09,3125.44,3146.09,3110.3,3138.29,139608622,177236918272.0
2018-04-10,3144.26,3190.65,3139.08,3190.32,168201359,206087413760.0
2018-04-11,3197.37,3220.84,3191.59,3208.08,175867197,211420422144.0
2018-04-12,3203.28,3205.25,3177.05,3180.16,148231314,185040056320.0
2018-04-13,3192.04,3197.9,3155.5,3159.05,127552310,163651751936.0
2018-04-16,3152.89,3153.11,3096.1,3110.65,154415695,192233349120.0
2018-04-17,3112.97,3118.76,3064.03,3066.8,147222845,185428029440.0
2018-04-18,3091.91,3096.89,3041.62,3091.4,159290504,202238971904.0
2018-04-19,3094.27,3127.44,3090.29,3117.38,160056804,196198985728.0
2018-04-20,3105.46,3111.17,3065.92,3071.54,155147090,185139068928.0
2018-04-23,3063.44,3085.06,3045.94,3068.01,131686341,157854793728.0
2018-04-24,3069.75,3136.04,3069.75,3128.93,162274806,195545006080.0
2018-04-25,3112.4,3122.91,3107.0,3117.97,127311053,161298141184.0
2018-04-26,3119.5,3121.93,3067.93,3075.03,133972736,163783774208.0
2018-04-27,3082.41,3088.03,3049.91,3082.23,131225644,179520262144.0
2018-05-02,3087.41,3097.6,3064.76,3081.18,134184566,168246153216.0
2018-05-03,3074.52,3105.66,3056.16,3100.86,139985620,173444960256.0
2018-05-04,3093.12,3104.09,3086.78,3091.03,118711265,148436365312.0
2018-05-07,3094.9,3136.84,3091.66,3136.64,138948186,178243870720.0
2018-05-08,3135.29,3169.7,3134.06,3161.5,146927060,189011648512.0
2018-05-09,3160.14,3165.37,3145.66,3159.15,122637268,153456427008.0
2018-05-10,3169.05,3176.14,3155.53,3174.41,133000755,165440364544.0
2018-05-11,3179.8,3180.76,3162.21,3163.26,130659748,167364288512.0
2018-05-14,3167.04,3183.81,3163.48,3174.03,129327352,172410691584.0
2018-05-15,3180.42,3192.81,3164.52,3192.12,124549051,162990788608.0
2018-05-16,3180.23,3191.95,3166.81,3169.56,130524969,174590980096.0
2018-05-17,3170.01,3172.77,3148.62,3154.28,113995566,150598840320.0
2018-05-18,3151.08,3193.45,3144.78,3193.3,136516918,168038055936.0
2018-05-21,3206.18,3219.74,3203.34,3213.84,164459412,202663464960.0
2018-05-22,3211.25,3214.59,3192.23,3214.35,144292685,185721667584.0
2018-05-23,3205.44,3205.44,3168.96,3168.96,157807649,199358099456.0
2018-05-24,3167.94,3173.53,3152.07,3154.65,124085801,160658186240.0
2018-05-25,3148.41,3156.73,3131.07,3141.3,128610844,166554050560.0
2018-05-28,3136.81,3149.66,3115.96,3135.08,128755919,168191258624.0
2018-05-29,3129.62,3143.21,3112.15,3120.46,135717801,177826107392.0
2018-05-30,3081.14,3085.4,3041.0,3041.44,155115126,191995195392.0
2018-05-31,3061.83,3098.08,3054.27,3095.47,140475533,185199038464.0
2018-06-01,3084.75,3102.09,3059.78,3075.14,129872200,166548881408.0
2018-06-04,3083.43,3098.4,3076.99,3091.19,114593902,154671611904.0
2018-06-05,3088.01,3114.77,3080.04,3114.21,118735593,164806307840.0
2018-06-06,3109.17,3117.52,3103.53,3115.18,120196134,162879954944.0
